4	0
6	0
7	0
9	11
11	14
13	717
14	1582
16	1888
18	1773
20	1470
21	1945
23	2503
25	3463
27	3956
29	4192
30	3620
32	3074
34	2500
36	2494
37	2073
39	2234
41	2346
43	2774
44	3418
46	5003
48	6897
50	11216
52	15734
54	23363
56	27860
57	30537
59	27058
61	23219
63	17109
65	14635
67	10526
68	8958
70	6776
72	5731
74	4750
76	4963
78	4487
79	4912
81	4630
83	4829
85	4496
87	4504
89	3904
91	3842
92	3431
94	3602
96	3513
98	4019
100	4831
102	6708
103	9042
105	13282
107	17236
109	23347
111	26595
113	30927
114	31182
116	30074
118	24996
120	20887
122	14527
124	11825
126	7525
128	5670
130	3930
132	3059
134	2419
136	2253
138	2035
140	2064
142	1783
144	1845
146	1713
148	1661
150	1652
152	1608
154	1588
156	1596
158	1464
160	1710
162	1642
164	1762
166	1705
168	1832
170	1874
172	2073
174	2004
176	2239
178	2291
180	2573
182	2570
184	2971
186	3351
188	4090
190	4847
192	6590
194	7894
196	10322
198	12191
200	15209
202	16822
204	19821
206	21379
208	23003
210	23158
212	23138
214	21637
216	20056
218	17930
220	15712
222	12988
224	10966
226	8563
228	6945
230	5289
232	4144
234	3158
236	2506
238	2116
240	1835
242	1685
244	1653
246	1650
248	1804
250	1739
252	2039
254	2193
256	2552
258	2627
260	3197
262	3373
264	3954
266	3891
268	4607
270	4661
272	5106
274	5079
276	5054
278	4895
280	4780
282	4303
284	4156
286	3679
288	3459
290	2952
292	2751
294	2318
296	2196
298	1910
300	1926
302	1697
304	1726
306	1743
308	1905
310	1988
312	2276
314	2546
316	2865
318	3100
320	3740
322	4026
324	4767
326	4875
328	5503
330	5591
332	6005
334	5929
336	6084
338	5948
340	5609
342	5136
344	4704
347	4236
349	3506
351	3014
353	2474
355	2080
357	1628
359	1215
361	934
363	648
365	530
367	360
369	287
371	187
373	145
375	113
377	97
379	90
381	59
383	67
385	61
388	50
390	60
392	48
394	57
396	45
398	45
400	43
402	56
404	49
406	52
408	54
410	42
412	56
414	37
416	40
418	50
420	33
422	33
424	32
426	33
428	31
431	32
433	37
435	42
437	37
439	36
441	38
443	39
445	21
447	34
449	42
451	38
453	24
455	28
457	20
459	29
461	22
463	22
465	23
467	12
469	23
472	17
474	27
476	14
478	14
480	14
482	14
484	25
486	23
488	19
490	14
492	14
494	19
496	22
498	15
500	20
502	20
504	17
506	19
508	15
510	15
512	7
515	15
517	15
519	17
521	19
523	13
525	14
527	8
529	17
531	9
533	9
535	19
537	22
539	13
541	12
543	13
545	7
547	14
549	16
551	9
553	7
556	8
558	12
560	10
562	9
564	11
566	10
568	9
570	10
572	9
574	8
576	4
578	5
580	7
582	6
584	4
586	6
588	8
590	0
592	6
594	3
596	1
599	5
601	4
603	2
605	1
607	3
609	3
611	4
613	3
615	9
617	5
619	5
621	3
623	4
625	7
627	3
629	5
631	5
633	4
635	4
637	5
640	5
642	3
644	3
646	2
648	9
650	3
652	5
654	6
656	1
658	2
660	1
662	3
664	4
666	4
668	5
670	6
672	2
674	4
676	1
678	2
680	3
682	2
684	2
686	1
688	1
690	0
692	3
694	0
696	1
698	0
700	6
702	2
704	1
706	2
708	1
710	0
712	4
714	6
716	3
718	2
720	5
722	0
724	3
726	1
728	0
730	0
732	0
734	0
736	1
738	4
740	0
742	0
744	2
746	2
748	4
750	3
752	0
754	1
756	2
758	2
760	4
762	1
764	1
766	0
768	2
770	0
772	4
774	3
776	1
778	2
780	2
782	0
784	4
786	2
788	1
790	2
792	1
794	0
796	0
798	0
800	1
802	2
804	0
806	0
808	0
810	1
812	1
814	1
816	2
818	1
820	0
822	1
824	0
826	0
828	0
830	1
832	2
834	1
836	0
838	3
840	1
842	0
844	1
846	1
848	1
850	2
852	0
854	0
856	2
858	0
860	0
862	1
864	0
866	0
868	2
870	0
872	2
874	0
876	2
878	2
880	1
882	0
884	1
886	2
888	3
890	1
892	0
894	1
